repo,baseline_ref,ref,group,baseline_count,ref_count,drop_count,drop_pct
Qwen-Agent,origin/main,origin/codex/pearl-news-option-b,config,30,0,30,100.0
Qwen-Agent,origin/main,origin/codex/pearl-news-option-b,pearl_news,95,50,45,47.4
phoenix_omega,origin/main,origin/pearl-news-manual,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,test/release-gates-check,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a05c7dd9,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a05c7dd9,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a0c0fcbb,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a0c0fcbb,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a1659383,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a1659383,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a24c4bca,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a24c4bca,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a5901672,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a5901672,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a5b4982d,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a5b4982d,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-a8b068e2,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-a8b068e2,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,worktree-agent-ae0611ab,workflows,23,0,23,100.0
phoenix_omega,origin/main,worktree-agent-ae0611ab,pearl_news,64,0,64,100.0
phoenix_omega,origin/main,codex/pearl-news-pr,workflows,23,1,22,95.7
phoenix_omega,origin/main,origin/codex/fix-pearl-news-missing-modules,workflows,23,1,22,95.7
phoenix_omega,origin/main,origin/codex/fix-wp-site-url-normalization,workflows,23,1,22,95.7
phoenix_omega,origin/main,origin/codex/pearl-news-pr,workflows,23,1,22,95.7
phoenix_omega,origin/main,origin/pearl-news-manual,workflows,23,1,22,95.7
phoenix_omega,origin/main,origin/pearl-news-manual,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a05c7dd9,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a0c0fcbb,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a1659383,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a24c4bca,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a5901672,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a5b4982d,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-a8b068e2,docs,129,47,82,63.6
phoenix_omega,origin/main,worktree-agent-ae0611ab,docs,129,47,82,63.6
phoenix_omega,origin/main,codex/pearl-news-pr,docs,129,48,81,62.8
phoenix_omega,origin/main,origin/codex/fix-pearl-news-missing-modules,docs,129,48,81,62.8
phoenix_omega,origin/main,origin/codex/fix-wp-site-url-normalization,docs,129,48,81,62.8
phoenix_omega,origin/main,origin/codex/pearl-news-pr,docs,129,48,81,62.8
phoenix_omega,origin/main,origin/pearl-news-manual,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a05c7dd9,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a0c0fcbb,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a1659383,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a24c4bca,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a5901672,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a5b4982d,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-a8b068e2,scripts,155,62,93,60.0
phoenix_omega,origin/main,worktree-agent-ae0611ab,scripts,155,62,93,60.0
phoenix_omega,origin/main,codex/pearl-news-pr,scripts,155,63,92,59.4
phoenix_omega,origin/main,origin/codex/fix-pearl-news-missing-modules,scripts,155,63,92,59.4
phoenix_omega,origin/main,origin/codex/fix-wp-site-url-normalization,scripts,155,63,92,59.4
phoenix_omega,origin/main,origin/codex/pearl-news-pr,scripts,155,63,92,59.4
phoenix_omega,origin/main,codex/harden-pearl-news-pipeline,scripts,155,72,83,53.5
phoenix_omega,origin/main,origin/codex/harden-pearl-news-pipeline,scripts,155,72,83,53.5
phoenix_omega,origin/main,codex/harden-pearl-news-pipeline,docs,129,62,67,51.9
phoenix_omega,origin/main,origin/codex/harden-pearl-news-pipeline,docs,129,62,67,51.9
phoenix_omega,origin/main,pearl-news-files,pearl_news,64,31,33,51.6
phoenix_omega,origin/main,codex/pearl-news-pr,pearl_news,64,34,30,46.9
phoenix_omega,origin/main,origin/codex/pearl-news-pr,pearl_news,64,34,30,46.9
phoenix_omega,origin/main,ei-v2-hybrid-only,scripts,155,84,71,45.8
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-pr,scripts,155,84,71,45.8
phoenix_omega,origin/main,codex/ei-v2-hybrid-only-clean,scripts,155,85,70,45.2
phoenix_omega,origin/main,codex/ei-v2-hybrid-pr,scripts,155,85,70,45.2
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-only-clean,scripts,155,85,70,45.2
phoenix_omega,origin/main,origin/codex/governance-100,scripts,155,85,70,45.2
phoenix_omega,origin/main,origin/codex/governance-evidence-pack,scripts,155,85,70,45.2
phoenix_omega,origin/main,codex/ei-v2-hybrid-only-clean,docs,129,71,58,45.0
phoenix_omega,origin/main,ei-v2-hybrid-only,docs,129,71,58,45.0
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-only-clean,docs,129,71,58,45.0
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-pr,docs,129,71,58,45.0
phoenix_omega,origin/main,codex/ei-v2-hybrid-pr,docs,129,72,57,44.2
phoenix_omega,origin/main,backup/local-main-before-sync,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,codex/ei-v2-hybrid-only-clean,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,codex/ei-v2-hybrid-pr,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,codex/harden-pearl-news-pipeline,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,ei-v2-hybrid-only,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-only-clean,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/ei-v2-hybrid-pr,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/fix-pearl-news-missing-modules,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/fix-wp-site-url-normalization,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/governance-100,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/governance-evidence-pack,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,origin/codex/harden-pearl-news-pipeline,pearl_news,64,36,28,43.8
phoenix_omega,origin/main,backup/local-main-before-sync,scripts,155,91,64,41.3
phoenix_omega,origin/main,origin/codex/governance-100,docs,129,76,53,41.1
phoenix_omega,origin/main,origin/codex/governance-evidence-pack,docs,129,77,52,40.3
phoenix_omega,origin/main,backup/local-main-before-sync,docs,129,78,51,39.5
